source_id,source_name,author,title,description,url,publishedAt,content,target_response,full_text
bbc-news,BBC News,https://www.facebook.com/bbcnews,Covid: Austria orders nationwide lockdown for unvaccinated,The new rules are being introduced amid record infection levels and growing pressure on hospitals.,https://www.bbc.co.uk/news/world-europe-59283128,2021-11-14T16:17:58Z,"Image caption, About 65% of Austria's population is fully vaccinated
Austria is placing millions of unvaccinated people into lockdown from Monday amid record infection levels and growing pressure on… [+3280 chars]",Center,"Latvia, where 59% of the population are fully vaccinated, re-imposed lockdown last month and has banned lawmakers who refuse the vaccine from voting on laws and taking part in debates until the middle of next year. They will also see their pay docked."
bbc-news,BBC News,https://www.facebook.com/bbcnews,Covid: Dutch accept life within 'lockdown-lite',"Most in the Netherlands support a new lockdown-lite, despite anti-lockdown protests making headlines.",https://www.bbc.co.uk/news/world-europe-59274688,2021-11-13T21:35:17Z,"By Anna HolliganBBC News, Amsterdam
Image source, AFP via Getty Images
Image caption, People in Amsterdam enjoy their last drinks before all bars have to close their doors at 7pm
Twinkling fairy l… [+5924 chars]",Center,"""My experience is lockdown after lockdown. It's especially hard as we've just seen what life can be like, but public safety comes first and you've got to do what you've got to do. The rules aren't that draconian, and we're well conditioned to it now."""
bbc-news,BBC News,https://www.facebook.com/bbcnews,Covid: Austrians heading towards lockdown for unvaccinated,"The measures comes as record infections are reported in Austria, Germany and the Netherlands.",https://www.bbc.co.uk/news/world-europe-59245018,2021-11-11T18:13:32Z,"Image source, Getty Images
Image caption, Austria recorded almost 12,000 new cases on Thursday, the highest so far
Austrians are days away from a first lockdown for anyone not fully vaccinated, aft… [+2592 chars]",Center,"Please update your browser to see full interactive

Show more

This information is regularly updated but may not reflect the latest totals for each country.

** The past data for new cases is a three day rolling average. Due to revisions in the number of cases, an average cannot be calculated for this date.

Source: Johns Hopkins University and national public health agencies"
bbc-news,BBC News,https://www.facebook.com/bbcnews,Australia jobs: 'The staffing issue is impossible',Can free flights and rent lure the foreign workers back to Australia who quit when Covid arrived?,https://www.bbc.co.uk/news/business-59093560,2021-11-03T01:30:31Z,"By Phil MercerBBC News, Sydney
Image source, Getty Images
Image caption, Overseas staff have underpinned Australia's hospitality sector for decades but the pandemic forced many bar workers and wait… [+7350 chars]",Center,"""The Australian economy can definitely benefit by getting refugees into the workforce. There has been recent research by Deloitte that showed that if we would increase the intake of refugees that means billions of dollars into the Australian economy,"" explains Betina Szkudlarek, an Associate Professor in Management at the University of Sydney Business School."
bbc-news,BBC News,https://www.facebook.com/bbcnews,China school locks down children after one Covid case,Large crowd of parents waited outside the school till almost midnight for news of their kids.,https://www.bbc.co.uk/news/world-asia-china-59144554,2021-11-03T04:00:10Z,"Image source, Getty Images
Image caption, A large group of parents were left waiting anxiously for their children
Dozens of students were held inside a Chinese primary school for hours after it was… [+1970 chars]",Center,"They were then asked to pack clothes for the children, who would have to spend the night at school. The principal added that they would be released the next day when the results were out, the report added."
bbc-news,BBC News,https://www.facebook.com/bbcnews,Covid: France brings in booster requirement for over 65s,"From 15 December, proof of a booster jab will be needed to visit restaurants and museums, or travel.",https://www.bbc.co.uk/news/world-europe-59229041,2021-11-09T23:55:30Z,"Image caption, Despite tough Covid rules and high vaccination rates, France is again seeing a spike in daily infections
Over-65s in France will soon only be allowed to travel or visit restaurants an… [+1583 chars]",Center,"The president said that next month booster jabs would be also made available to those aged between 50 and 64, stressing that more than 80% of Covid patients currently being treated in intensive care units were aged over 50."
bbc-news,BBC News,,World Tour Championship: Jon Rahm withdraws from season-ending event,World number one Jon Rahm withdraws from the DP World Tour Championship in order to spend time with his family.,https://www.bbc.co.uk/sport/golf/59280448,2021-11-14T14:59:53Z,"Jon Rahm won his first major, the US Open, in June
World number one Jon Rahm has withdrawn from the DP World Tour Championship in order to spend time with his family.
The Spaniard's withdrawal rule… [+1153 chars]",Center,"Last updated on .From the section Golf

Jon Rahm won his first major, the US Open, in June

World number one Jon Rahm has withdrawn from the DP World Tour Championship in order to spend time with his family.

It rules the Spaniard out of the running to win the Race to Dubai, in which he currently sits third behind Collin Morikawa and Billy Horschel.

Rahm has had a rollercoaster year, twice testing positive for Covid-19 and winning the US Open - his first major.

""I have come to the difficult decision not to travel to Dubai next week,"" he said.

""The demands of a long season with many ups and downs has taken a lot out of me. I feel I need to take time to recharge my batteries while spending quality time with my family.

""I would like to take this opportunity to wish DP World and the European Tour all the best for the season-ending event, which is always such a special tournament.""

Rahm won the Race to Dubai title, which crowns the European Tour's number one player, in 2019.

The 27-year-old won the US Open, in June, 15 days after being forced out of the Memorial Tournament because of his first positive Covid test, despite leading by six shots.

His second ruled him out of the Tokyo Olympics just a week before he was due to fly out to Japan, but he bounced back on a personal note, wining three and a half points from five matches in Europe's Ryder Cup defeat by the United States."
bbc-news,BBC News,https://www.facebook.com/bbcnews,"A journey from slum to Sydney, upended by the pandemic",Tushar Joshi's dreams of studying in Australia on a scholarship have been upended by Covid-19.,https://www.bbc.co.uk/news/world-asia-india-58895748,2021-11-05T01:56:36Z,"Image caption, Tushar Joshi has big dreams of working for the United Nations
The pandemic has brought challenges for many students, but Tushar Joshi's circumstances are tougher than most, writes Sar… [+4637 chars]",Center,"Even parents in the slum - who are mostly illiterate - want their children to start working as soon as possible, he said. But his parents were different. ""They didn't hold me back despite having financial difficulties. They told me I had to study so I wouldn't be like them,"" he said."
bbc-news,BBC News,https://www.facebook.com/bbcnews,The African migrants running a food bank in Sicily,Undocumented people in Italy struggling for money during the Covid pandemic are not entitled to aid.,https://www.bbc.co.uk/news/world-africa-59234871,2021-11-11T00:21:05Z,"Image source, Kate Stanworth
In our series of letters from freelance African journalists, Ismail Einashe looks at how African migrants are helping each other on the Italian island of Sicily.
One mo… [+4828 chars]",Center,"About 33% of the 187,000 foreigners registered in Sicily two years ago were from Africa - but there are many thousands more who are unofficial and living in Palermo, which has a population of about 1.3 million."
bbc-news,BBC News,,New Zealand PM Jacinda Ardern's live stream interrupted by three-year-old daughter,Three-year-old Neve interrupted Jacinda Ardern's Facebook Live on Covid restrictions.,https://www.bbc.co.uk/news/av/world-asia-59230846,2021-11-10T09:43:52Z,"New Zealand Prime Minister Jacinda Ardern's was interrupted by her three-year-old daughter during a Facebook Live on coronavirus restrictions in the country.
The PM wasn't anticipating the interrupt… [+89 chars]",Center,"New Zealand Prime Minister Jacinda Ardern's was interrupted by her three-year-old daughter during a Facebook Live on coronavirus restrictions in the country.

The PM wasn't anticipating the interruption, saying: ""I thought here's a moment, I'll do a Facebook Live, it'll be nice and safe."""
