,,1996,1996,1996,1996,1996,1996,1998,1998,1998,1998,1998,1998,2000,2000,2000,2000,2000,2000,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020
Country/Territory,Code,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper
Aruba,ABW,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.184471965,0.395905554,1,85.36585236,72.19512177,92.68292999,1.278152943,0.341566622,1,88.29268646,73.65853882,93.17073059,1.25953114,0.419885546,1,88.29268646,72.19512177,94.63414764,1.269964576,0.416290224,1,88.83495331,72.33009338,93.68932343,1.288655162,0.40298757,1,87.86407471,73.78640747,94.6601944,1.11636126,0.293201149,2,84.21052551,72.72727203,91.38755798,1.127541184,0.29342711,2,83.80952454,72.38095093,91.90476227,1.110036373,0.296209306,2,83.412323,72.03791809,91.94313049,1.102628469,0.313293427,2,82.93838501,72.03791809,91.4691925,1.126579642,0.309330016,2,82.93838501,71.09004974,91.4691925,1.019108176,0.304774374,2,81.7307663,69.2307663,91.34615326,1.297560215,0.290631354,2,88.94230652,76.92308044,92.78845978,1.285870671,0.30716905,2,89.42308044,76.92308044,92.78845978,1.294589043,0.282581061,2,88.46154022,80.28845978,92.30769348,1.252446651,0.282528341,2,87.0192337,79.32691956,92.30769348,1.217545986,0.286041379,2,85.57691956,76.44230652,91.82691956,1.235405087,0.263506919,2,86.53845978,77.88461304,93.75
Andorra,ADO,1.318143249,0.480888695,1,87.09677124,72.04301453,96.77419281,1.377703786,0.461772501,1,89.17525482,74.74227142,96.90721893,1.359711885,0.473483413,1,88.83248901,73.09644318,95.43147278,1.349896431,0.436570525,1,88.38383484,74.74747467,95.45454407,1.376689911,0.403345793,1,88.8888855,76.26262665,94.94949341,1.137412429,0.395905554,1,84.39024353,71.70731354,91.70731354,1.278152943,0.341566622,1,88.29268646,73.65853882,93.17073059,1.25953114,0.419885546,1,88.29268646,72.19512177,94.63414764,1.269964576,0.416290224,1,88.83495331,72.33009338,93.68932343,1.288655162,0.40298757,1,87.86407471,73.78640747,94.6601944,1.325579286,0.427496374,1,88.03827667,72.72727203,95.21530914,1.308456063,0.431707531,1,88.09523773,72.38095093,94.76190186,1.279335737,0.418040931,1,88.1516571,72.03791809,94.78672791,1.267988801,0.433492601,1,87.20378876,71.5639801,95.26066589,1.260758519,0.442266405,1,86.7298584,70.1421814,95.73459625,1.225432158,0.424711913,1,87.0192337,69.2307663,95.19230652,1.218931437,0.421974272,1,87.0192337,68.2692337,95.19230652,1.228803873,0.42249319,1,87.5,68.2692337,94.71154022,1.245125532,0.401955217,1,86.53845978,70.67308044,95.19230652,1.239041328,0.402181119,1,86.53845978,70.67308044,94.71154022,1.234695911,0.409075886,1,87.9807663,69.71154022,95.19230652,1.31437397,0.379998386,1,88.94230652,74.5192337,95.19230652
Afghanistan,AFG,-1.291704774,0.340506971,2,4.301075459,0,27.41935539,-1.180848122,0.330179065,2,9.793814659,0,31.44329834,-1.295379877,0.356294185,2,5.076142311,0,29.44162369,-1.263365984,0.35991472,2,5.050505161,0,31.81818199,-1.351041913,0.275338709,3,5.050505161,0,18.18181801,-1.345281363,0.21431461,5,5.853658676,0,14.14634132,-1.443609238,0.207736045,5,2.439024448,0,13.17073154,-1.432889819,0.206337914,7,3.902439117,0,12.19512177,-1.587331414,0.22911942,6,0.970873773,0,7.281553268,-1.638286591,0.219334021,7,0.485436887,0,4.854369164,-1.534796,0.201660827,8,0.95693779,0,7.655502319,-1.636176944,0.195609823,9,0.952380955,0,3.809523821,-1.579173923,0.194527715,9,0.947867274,0,5.687203884,-1.419741392,0.186770976,10,2.369668245,0,11.84834099,-1.436510324,0.160663277,11,1.895734549,0,9.952606201,-1.354828835,0.161204681,11,5.288461685,0.480769217,12.5,-1.342215896,0.162264913,11,6.25,1.442307711,12.5,-1.526171565,0.165763304,10,3.365384579,0,9.615385056,-1.515625596,0.16296798,10,3.846153736,0,9.615385056,-1.487624168,0.157467008,10,4.807692528,0,10.09615421,-1.400732994,0.157102391,10,6.730769157,1.923076868,11.53846169,-1.475404501,0.158879355,9,5.288461685,0,11.05769253
Angola,AGO,-1.16770184,0.262076586,4,9.677419662,0.537634432,27.41935539,-1.405836463,0.211729228,6,1.546391726,0,13.40206146,-1.522685051,0.220007792,6,1.522842646,0,8.121827126,-1.183629155,0.196194842,6,6.565656662,0,24.24242401,-1.320665479,0.17956987,8,5.555555344,0,11.61616135,-1.313558817,0.164540365,10,7.804878235,0.975609779,14.14634132,-1.296138883,0.176952079,9,7.317073345,0.48780489,16.5853653,-1.220061183,0.167517036,11,7.804878235,1.951219559,18.04878044,-1.289693236,0.183434501,10,5.825242519,0.485436887,17.96116447,-1.284620643,0.180871367,11,4.854369164,0.970873773,15.53398037,-1.404654503,0.170246392,12,2.392344475,0,11.96172237,-1.326095223,0.157303199,13,3.809523821,0.952380955,13.80952358,-1.344277263,0.154581755,13,4.265402794,0,13.74407578,-1.268470168,0.15832302,12,7.109004974,0,15.63981056,-1.309463382,0.153543711,13,6.161137581,0.473933637,12.32227516,-1.443943739,0.148902461,12,3.846153736,0,9.134614944,-1.395013571,0.152972788,10,3.846153736,0.480769217,11.05769253,-1.439528227,0.156892389,10,5.769230843,0.961538434,10.57692337,-1.410952806,0.142447785,10,6.25,0.961538434,11.05769253,-1.139191985,0.14806661,10,11.53846169,7.692307472,16.82692337,-1.054450631,0.152681798,11,13.94230747,9.134614944,23.55769157,-0.927093148,0.155941501,10,18.26922989,11.53846169,26.92307663
Anguilla,AIA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.855055511,0.395905554,1,79.02439117,60.48780441,91.70731354,1.278152943,0.341566622,1,88.29268646,73.65853882,93.17073059,1.25953114,0.419885546,1,88.29268646,72.19512177,94.63414764,1.269964576,0.416290224,1,88.83495331,72.33009338,93.68932343,1.288655162,0.40298757,1,87.86407471,73.78640747,94.6601944,1.325579286,0.427496374,1,88.03827667,72.72727203,95.21530914,1.308456063,0.431707531,1,88.09523773,72.38095093,94.76190186,1.279335737,0.418040931,1,88.1516571,72.03791809,94.78672791,1.267988801,0.433492601,1,87.20378876,71.5639801,95.26066589,1.260758519,0.442266405,1,86.7298584,70.1421814,95.73459625,1.225432158,0.424711913,1,87.0192337,69.2307663,95.19230652,1.218931437,0.421974272,1,87.0192337,68.2692337,95.19230652,1.228803873,0.42249319,1,87.5,68.2692337,94.71154022,1.245125532,0.401955217,1,86.53845978,70.67308044,95.19230652,1.239041328,0.402181119,1,86.53845978,70.67308044,94.71154022,1.234695911,0.409075886,1,87.9807663,69.71154022,95.19230652,0.678798795,0.379998386,1,74.5192337,58.17307663,87.0192337
Albania,ALB,-0.893903494,0.315914035,3,19.35483932,2.688172102,43.01075363,-1.033112288,0.223724931,5,14.43299007,2.061855555,31.44329834,-0.857256413,0.216112182,6,23.85786819,6.598984718,35.53299332,-0.868602037,0.20624873,6,23.73737335,6.060606003,34.34343338,-0.812275112,0.189508066,7,24.24242401,10.10101032,35.85858536,-0.699198425,0.172838286,9,27.31707382,14.63414669,40.48780441,-0.786193073,0.153501049,10,22.92682838,15.60975647,36.5853653,-0.803845048,0.146516353,12,22.92682838,14.63414669,34.63414764,-0.687789023,0.148849964,12,28.64077759,18.44660187,37.86407852,-0.593706608,0.139760584,12,33.49514389,20.38834953,42.23300934,-0.538495123,0.144586116,12,35.40670013,23.92344475,47.36841965,-0.525215387,0.140902296,12,36.19047546,23.80952454,48.09523773,-0.682986557,0.136156976,13,26.54028511,18.95734596,39.33649445,-0.726490915,0.124284089,14,27.48815155,18.48341179,36.01895905,-0.698431909,0.127802506,13,27.01421738,19.43128014,37.91469193,-0.548163533,0.129145488,12,34.61538315,24.51922989,46.63461685,-0.479035079,0.129792362,12,38.46154022,26.92307663,49.51922989,-0.405148834,0.133374527,12,40.86538315,31.73077011,50.96154022,-0.420721829,0.123166613,12,42.30769348,29.80769157,49.03845978,-0.478632122,0.131410092,12,37.98077011,26.92307663,46.15384674,-0.533088803,0.141658604,12,33.17307663,25,44.23077011,-0.540196061,0.14528653,10,31.73077011,24.03846169,45.67307663
Netherlands Antilles (former),ANT,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.61975795,0.395905554,1,73.65853882,55.12195206,85.85366058,1.278152943,0.341566622,1,88.29268646,73.65853882,93.17073059,1.25953114,0.419885546,1,88.29268646,72.19512177,94.63414764,1.269964576,0.416290224,1,88.83495331,72.33009338,93.68932343,1.288655162,0.40298757,1,87.86407471,73.78640747,94.6601944,0.839033186,0.427496374,1,77.03349304,61.24401855,90.90908813,0.820768178,0.431707531,1,77.14286041,60.95238113,90.95237732,0.798557997,0.418040931,1,75.82938385,61.13743973,89.57346344,0.787239015,0.433492601,1,76.30331421,60.66350555,90.52132416,0.785380185,0.442266405,1,76.7772522,59.71564102,89.57346344,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
United Arab Emirates,ARE,-0.005579059,0.312212378,3,57.52688217,35.48387146,72.04301453,0.051206212,0.265407383,3,57.21649551,42.2680397,69.07216644,0.116904333,0.291996092,3,61.42131805,43.6548233,73.60405731,1.146778226,0.210112587,4,83.83838654,77.77777863,89.89898682,0.86032778,0.232546538,4,78.28282928,71.71717072,85.35353851,1.057323575,0.199673787,5,83.9024353,75.60975647,90.24390411,0.998800993,0.193712398,5,81.46341705,73.17073059,88.29268646,0.893287182,0.207924545,5,79.02439117,72.19512177,84.87805176,1.013516188,0.214665622,5,81.06796265,73.78640747,89.80582428,1.082438588,0.21113199,5,83.00971222,74.27184296,91.26213837,0.912934482,0.18980585,7,78.94736481,72.24880219,85.16746521,0.896520555,0.187136412,7,78.57142639,72.38095093,84.76190186,1.077587485,0.160968363,9,81.99052429,76.30331421,88.1516571,1.163152695,0.148888946,8,83.412323,77.72512054,88.62559509,1.280802011,0.147569075,8,87.20378876,81.04265594,89.57346344,1.203786492,0.141664982,8,83.17308044,79.80769348,89.90384674,1.072319388,0.142993465,8,82.69230652,76.92308044,88.94230652,1.171737075,0.147943184,8,84.13461304,80.28845978,90.38461304,1.13643837,0.134394243,8,82.69230652,80.7692337,88.46154022,1.15207839,0.144260153,8,83.65384674,80.7692337,88.46154022,1.10667336,0.155278683,8,83.17308044,79.80769348,88.94230652,1.114395976,0.161209926,7,83.17308044,80.28845978,88.94230652
