,,1996,1996,1996,1996,1996,1996,1998,1998,1998,1998,1998,1998,2000,2000,2000,2000,2000,2000,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020
Country/Territory,Code,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper
Aruba,ABW,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.737520695,0.338822395,1,73.07691956,56.25,88.94230652,1.153230071,0.357602417,1,85.57691956,64.90384674,100,1.017273426,0.491848856,1,80.28845978,53.84615326,100,0.972128868,0.511655807,1,78.36538696,52.88461685,100,0.967198193,0.511172235,1,79.32691956,51.44230652,100,1.25234437,0.259898603,2,91.4691925,71.5639801,100,1.281883955,0.239399835,2,90.99526215,72.98577881,100,1.273587823,0.234903127,2,90.61032867,74.64788818,100,1.28464973,0.209522918,2,90.61032867,76.05633545,97.65258026,1.278059244,0.20330961,2,90.61032867,75.58685303,97.65258026,1.276822448,0.267147124,1,92.1182251,71.92118073,100,1.273941755,0.276419848,1,91.62561798,72.41379547,100,1.279367566,0.291443586,1,92.1182251,71.92118073,100,1.295541406,0.282478005,1,92.61083984,73.89162445,100,1.271613002,0.24762091,1,90.82125854,76.32849884,99.51690674,1.264410615,0.267498434,1,91.78743744,72.94686127,100,1.28910768,0.260646254,1,92.75362396,72.46376801,99.51690674
Andorra,ADO,1.563216686,0.291690677,3,98.5,81.5,100,1.528759122,0.291445464,3,97.51243591,78.60696411,100,1.535655499,0.29128316,3,97.0149231,80.59701538,100,1.437128186,0.272817552,3,95.52238464,74.6268692,100,1.422261953,0.2690323,3,94.02985382,77.11442566,100,1.563076615,0.260854989,3,94.71154022,85.09615326,100,1.528181553,0.266424268,3,94.71154022,82.69230652,100,1.3299793,0.234210014,3,92.30769348,76.44230652,100,1.305506468,0.230224192,3,92.30769348,74.03845978,100,1.325321794,0.226611674,3,93.2692337,75.96154022,100,1.322938085,0.23278372,3,92.41706085,74.8815155,100,1.324308634,0.236173764,3,92.89099884,75.35545349,100,1.360453367,0.23199603,3,93.89671326,76.52581787,100,1.433837652,0.233316243,4,93.89671326,81.22065735,100,1.406641722,0.226248547,4,93.89671326,81.69013977,100,1.165938854,0.249166101,2,87.68473053,70.93595886,99.01477814,1.194476604,0.234822407,2,88.17733765,72.41379547,99.50739288,1.17659831,0.217248425,2,87.19211578,72.90640259,97.53694916,1.161646605,0.229062557,2,86.20689392,72.90640259,97.53694916,1.036912799,0.265538424,2,82.12560272,68.11594391,95.16908264,1.11012435,0.21835725,2,84.5410614,71.01449585,96.13526917,1.089067698,0.223904222,2,83.57488251,70.04830933,95.6521759
Afghanistan,AFG,-1.90854013,0.261457115,4,1,0,9.5,-2.039301157,0.256089628,4,0.49751243,0,4.975124359,-2.031416893,0.254042536,4,0.99502486,0,5.4726367,-1.433421016,0.189453408,6,9.452735901,2.98507452,14.92537308,-1.177571177,0.207045421,5,14.42786026,6.965174198,24.37810898,-1.203033924,0.175590158,7,15.38461494,7.211538315,21.63461494,-1.12542963,0.173295274,8,14.90384579,8.17307663,23.55769157,-1.110293984,0.150166392,9,17.78846169,8.653845787,25,-1.057653904,0.14550525,10,18.75,10.09615421,25,-1.168901801,0.143898979,10,14.42307663,9.134614944,21.63461494,-1.375496507,0.147714943,10,9.478672981,6.161137581,14.21800995,-1.404468179,0.143254668,10,9.952606201,5.687203884,13.74407578,-1.335976958,0.14380087,10,11.26760578,7.042253494,15.96244144,-1.267430067,0.134757057,11,14.08450699,6.572770119,16.43192482,-1.240068316,0.123408414,12,14.55399036,8.450704575,17.37089157,-1.135444999,0.132238999,10,16.25615692,9.359605789,21.67487717,-1.117563009,0.134630308,10,18.71921158,10.83743858,22.66009903,-1.037837505,0.129879341,10,20.6896553,13.30049229,23.64532089,-0.990854084,0.130806759,10,22.1674881,14.28571415,24.63054276,-1.011603355,0.133870095,10,20.28985596,13.52657032,25.12077332,-1.006792426,0.127234191,10,21.25603867,15.45893764,24.63768196,-1.083458543,0.131292805,9,19.32367134,13.04347801,23.18840599
Angola,AGO,-1.578163505,0.208809838,6,6,0.5,13,-1.411878705,0.214446098,6,9.452735901,2.48756218,16.91542244,-1.458064675,0.19728291,7,8.955224037,1.99004972,12.93532372,-1.238779068,0.159148961,9,12.93532372,7.960198879,20.39801025,-1.272615314,0.156959146,10,10.9452734,6.965174198,20.89552307,-1.285479784,0.144515619,12,11.53846169,6.730769157,18.75,-1.234719396,0.146223292,12,12.01923084,8.17307663,19.23077011,-1.252087951,0.120603837,14,11.53846169,8.17307663,18.75,-1.18531394,0.122697562,13,14.42307663,8.653845787,20.19230843,-1.119346857,0.11480885,14,15.86538506,12.01923084,21.63461494,-1.126124859,0.111552,16,14.69194317,10.42654037,21.32701492,-1.120539427,0.109905921,17,14.69194317,12.79620838,20.85308075,-1.125478387,0.111696735,17,14.55399036,12.20657253,20.18779373,-1.076246738,0.114395961,16,15.96244144,14.08450699,23.47417831,-1.113843441,0.109391339,17,15.96244144,12.67605591,22.06572723,-1.145493984,0.127360865,13,15.27093601,9.359605789,21.67487717,-1.177248359,0.126986519,11,15.27093601,9.852216721,22.1674881,-1.139599919,0.124807447,11,16.74876785,11.82266045,22.66009903,-1.097938538,0.123325311,12,17.73398972,12.31527138,23.15270996,-0.906303406,0.127323955,12,22.70531464,17.87439537,27.53623199,-0.783532202,0.120139003,12,25.12077332,21.25603867,29.46859932,-0.810628235,0.124612637,11,25.60386467,20.28985596,30.43478203
Anguilla,AIA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.854418099,0.338822395,1,76.44230652,58.17307663,90.38461304,0.903781235,0.357602417,1,75.4807663,59.13461685,93.2692337,1.017273426,0.491848856,1,80.28845978,53.84615326,100,0.972128868,0.511655807,1,78.36538696,52.88461685,100,0.967198193,0.511172235,1,79.32691956,51.44230652,100,0.963812232,0.500100732,1,77.25118256,54.02843475,100,0.988284528,0.478729606,1,78.1990509,55.45023727,100,1.009051681,0.448948443,1,78.87323761,55.86854553,100,1.025671721,0.429885238,1,80.75117493,57.74647903,100,1.004767299,0.457373589,1,81.22065735,56.33802795,100,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Albania,ALB,-0.648297846,0.225410879,5,29.5,16.5,40.5,-0.387372851,0.233763546,5,38.80596924,27.36318398,48.75621796,-0.285138667,0.19642058,6,41.29353333,30.84577179,51.74129486,-0.008150226,0.169131875,7,48.25870514,41.29353333,56.71641922,0.070307702,0.167301029,8,50.24875641,41.79104614,60.19900513,0.007237501,0.175275072,9,49.03845978,39.90384674,58.17307663,0.003671779,0.171999812,11,51.44230652,40.38461685,59.13461685,0.075889945,0.135304466,13,49.03845978,41.82692337,56.25,0.113008492,0.134594038,13,51.92307663,45.19230652,57.21154022,0.174939096,0.134313121,13,53.36538315,45.67307663,58.17307663,0.141477272,0.136983767,13,54.02843475,45.0236969,57.81990433,0.123821586,0.130562931,14,54.02843475,44.07582855,57.34597015,0.062333763,0.126827046,15,52.11267471,43.19248962,55.86854553,0.022064054,0.11787165,16,50.70422363,43.66197205,56.33802795,0.048892584,0.117732346,15,51.17370987,43.19248962,56.33802795,0.143760741,0.124896288,12,50.24630356,46.79803085,59.11330032,0.157148644,0.127310872,12,52.70935822,45.81280899,58.62068939,0.170926735,0.122668102,12,52.21674728,45.32019806,57.63546753,0.203784555,0.124308333,12,54.18719101,46.30541992,59.11330032,0.1807338,0.127143741,12,52.65700531,44.44444275,58.93719864,0.142710745,0.121825702,11,52.17391205,42.99517059,57.48792267,0.087339923,0.124917336,10,51.20772934,40.09661865,57.00482941
Netherlands Antilles (former),ANT,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.503726006,0.338822395,1,64.42308044,46.63461685,82.69230652,0.654332519,0.357602417,1,70.67308044,53.84615326,88.94230652,0.548463166,0.491848856,1,65.38461304,37.01922989,92.78845978,0.517305076,0.511655807,1,62.5,35.57692337,93.2692337,0.525152504,0.511172235,1,62.98077011,36.05769348,94.2307663,0.303896695,0.500100732,1,56.87203979,30.33175278,85.78199005,0.325717777,0.478729606,1,57.34597015,33.175354,83.88625336,0.335149825,0.448948443,1,57.27699661,34.27230072,82.15962219,0.350018591,0.429885238,1,59.62441254,35.6807518,81.22065735,0.340803087,0.457373589,1,58.68544769,34.27230072,83.56807709,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
United Arab Emirates,ARE,-0.409403622,0.223274052,5,37,24,50,-0.519163191,0.233953774,5,33.83084488,21.39303398,46.26865768,-0.516841352,0.226859897,5,31.3432827,22.38805962,45.77114487,-0.631543517,0.210839555,6,30.34825897,20.39801025,41.29353333,-0.912192345,0.177617863,7,22.88557243,11.94029808,29.85074615,-0.687912881,0.157762975,9,26.44230843,21.63461494,35.57692337,-0.708473206,0.162032023,9,25.96153831,20.67307663,34.13461685,-0.999829352,0.145645961,9,20.67307663,12.01923084,25.48077011,-0.906883299,0.144224718,9,23.07692337,15.38461494,28.84615326,-0.91238147,0.14399159,9,22.11538506,15.38461494,28.84615326,-0.838312089,0.135767043,11,25.59241676,16.587677,29.85782051,-0.903512776,0.132959694,11,23.22274971,14.21800995,28.90995216,-0.896244109,0.132108241,12,23.47417831,15.49295807,28.63849831,-1.000819206,0.127514079,11,18.30985832,14.55399036,24.88262939,-1.019483566,0.124861605,11,19.24882698,14.55399036,24.41314507,-1.061368585,0.135250166,9,20.19704437,12.80788136,24.63054276,-1.112425327,0.137392893,9,19.21182251,10.83743858,23.64532089,-1.050370812,0.13249144,9,20.19704437,12.80788136,23.64532089,-1.096846819,0.13346757,9,18.22660065,12.31527138,23.15270996,-1.12692523,0.137481347,9,17.87439537,12.07729435,23.18840599,-1.140149117,0.132266551,8,17.39130402,12.07729435,22.22222137,-1.184305429,0.135979459,7,16.42512131,11.11111069,21.25603867
