,,1996,1996,1996,1996,1996,1996,1998,1998,1998,1998,1998,1998,2000,2000,2000,2000,2000,2000,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020
Country/Territory,Code,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper
Aruba,ABW,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.301712751,0.411078751,1,88.17733765,72.90640259,95.56650543,1.292861938,0.306960046,1,88.23529053,75,95.58823395,1.285326958,0.433775842,1,87.80487823,69.75609589,98.04878235,1.252984643,0.46934703,1,86.89320374,69.90291595,97.57281494,1.279326439,0.452218175,1,86.40776825,69.41747284,98.05825043,1.500568032,0.322890848,2,89.95215607,78.46890259,98.08612061,1.251488328,0.33525461,2,85.64593506,72.24880219,96.17224884,1.242021203,0.32934171,2,84.8341217,72.51184845,96.20853424,1.254593849,0.314118236,2,85.78199005,72.51184845,95.26066589,1.227172732,0.301632643,2,85.30805969,72.98577881,94.78672791,0.891464472,0.351648748,2,75.4807663,64.90384674,89.42308044,0.883257687,0.330610782,2,76.44230652,65.38461304,87.9807663,0.892866194,0.320677578,2,76.92308044,67.30769348,90.38461304,0.919963777,0.334990978,2,78.36538696,66.82691956,90.86538696,1.056812167,0.332066864,2,80.28845978,71.15384674,93.2692337,1.02962184,0.328388661,2,80.28845978,69.71154022,92.78845978,1.129532099,0.358269542,2,85.09615326,71.15384674,95.19230652
Andorra,ADO,1.414037704,0.187617555,1,88.52458954,83.60655975,91.25682831,1.462049723,0.310278982,1,88.60103607,82.38342285,95.85491943,1.446284294,0.343066335,1,88.71794891,80,97.43589783,1.423873901,0.299504519,1,88.7755127,81.12245178,94.38775635,1.410648108,0.363449961,1,88.7755127,77.55101776,97.44898224,1.524565816,0.411078751,1,90.14778137,76.84729004,99.50739288,1.292861938,0.306960046,1,88.23529053,75,95.58823395,1.543034554,0.433775842,1,89.75609589,76.5853653,100,1.50825417,0.46934703,1,90.29125977,75.72815704,99.02912903,1.537209153,0.452218175,1,90.77669525,77.1844635,99.51456451,1.540095806,0.42342633,1,91.86602783,75.5980835,99.52153015,1.517772317,0.449315786,1,89.95215607,75.11961365,100,1.504564285,0.434572607,1,90.52132416,75.82938385,99.52606964,1.531208873,0.400196075,1,91.4691925,76.30331421,99.52606964,1.53956151,0.3827084,1,92.41706085,77.25118256,99.52606964,1.718309641,0.46795997,1,95.19230652,76.44230652,100,1.786852002,0.447944313,1,96.15384674,80.7692337,100,1.860075593,0.434965938,1,98.07691956,84.13461304,100,1.940301061,0.44740957,1,98.07691956,84.61538696,100,1.94391799,0.458844483,1,98.55769348,84.13461304,100,1.908388972,0.459649712,1,98.07691956,83.65384674,100,1.825594306,0.491761982,1,96.63461304,80.7692337,100
Afghanistan,AFG,-2.175166607,0.187617555,1,0,0,1.639344215,-2.135942221,0.310278982,1,0,0,2.590673685,-2.231650829,0.343066335,1,0,0,2.56410265,-1.567973137,0.262548119,2,2.040816307,0,9.183673859,-1.082487702,0.30674386,2,11.73469353,1.53061223,32.1428566,-0.894050717,0.239062428,4,17.24137878,6.896551609,37.43842316,-1.210829139,0.222251788,4,9.8039217,1.960784316,22.54901886,-1.430342913,0.257668018,6,5.365853786,0,15.1219511,-1.403351665,0.306179106,5,5.339805603,0.485436887,17.47572899,-1.496088862,0.271777809,6,4.368932247,0.485436887,13.5922327,-1.483899474,0.239803091,7,3.82775116,0,11.96172237,-1.454611182,0.235459611,7,4.78468895,0.478468895,13.39712906,-1.44844389,0.238743335,7,4.739336491,0.947867274,14.21800995,-1.360195875,0.225558713,8,6.635071278,0.473933637,16.587677,-1.385382414,0.220889226,8,7.582938194,0.473933637,14.69194317,-1.332014799,0.231585652,8,8.17307663,1.442307711,16.34615326,-1.323176265,0.231135413,8,8.17307663,1.442307711,17.30769157,-1.226401329,0.221825272,8,9.615385056,4.326922894,18.75,-1.325545192,0.226509258,8,9.134614944,3.846153736,16.34615326,-1.453096032,0.238939315,8,8.17307663,1.923076868,12.98076916,-1.463065028,0.237714425,8,7.211538315,1.923076868,13.46153831,-1.5231148,0.264618814,7,5.288461685,1.923076868,12.5
Angola,AGO,-0.859939992,0.173903719,3,21.31147575,12.02185822,33.33333206,-1.341783285,0.203154728,5,5.699481964,2.590673685,13.98963737,-1.462309718,0.211237147,5,3.589743614,2.051282167,10.2564106,-1.238856673,0.186934382,6,8.163265228,2.040816307,13.77550983,-1.156531334,0.177602917,7,9.183673859,3.571428537,18.87755013,-1.314578176,0.169681445,8,6.403940678,1.477832556,11.33004951,-1.137153387,0.186741173,7,12.25490189,3.431372643,22.54901886,-1.369492531,0.176083535,9,5.853658676,1.463414669,13.17073154,-1.206412315,0.214037538,8,10.67961121,2.91262126,19.90291214,-1.062213182,0.207138538,8,13.5922327,4.854369164,26.69902992,-0.960353315,0.197768226,9,17.22488022,6.698564529,31.10047913,-1.117861629,0.18921499,10,11.00478458,4.78468895,22.48803902,-1.15352869,0.187997416,10,11.37440777,4.265402794,19.9052124,-0.989699543,0.19886373,9,17.06161118,7.582938194,29.38388634,-1.223589897,0.170977816,11,10.90047359,3.791469097,17.06161118,-1.12424767,0.180570886,11,13.46153831,6.25,19.71153831,-1.000326514,0.184577554,10,15.38461494,8.17307663,25,-1.03597033,0.180180684,10,13.46153831,7.692307472,22.11538506,-1.026034355,0.187775761,9,14.90384579,8.653845787,22.59615326,-1.045001864,0.193173453,9,13.94230747,8.653845787,21.63461494,-1.117539883,0.190008894,10,12.98076916,7.211538315,19.71153831,-1.181796789,0.202149108,9,11.05769253,5.288461685,18.26922989
Anguilla,AIA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.078859687,0.411078751,1,81.77339935,67.98029327,91.13300323,1.558451772,0.306960046,1,91.1764679,82.84313965,99.01960754,1.543034554,0.433775842,1,89.75609589,76.5853653,100,1.50825417,0.46934703,1,90.29125977,75.72815704,99.02912903,1.537209153,0.452218175,1,90.77669525,77.1844635,99.51456451,1.540095806,0.42342633,1,91.86602783,75.5980835,99.52153015,1.517772317,0.449315786,1,89.95215607,75.11961365,100,1.504564285,0.434572607,1,90.52132416,75.82938385,99.52606964,1.531208873,0.400196075,1,91.4691925,76.30331421,99.52606964,1.53956151,0.3827084,1,92.41706085,77.25118256,99.52606964,0.952053905,0.46795997,1,77.88461304,60.57692337,95.19230652,1.007015228,0.447944313,1,79.32691956,64.42308044,94.71154022,1.328458309,0.434965938,1,87.5,73.07691956,99.5192337,0.838058054,0.44740957,1,76.44230652,57.69230652,92.78845978,0.82841301,0.458844483,1,76.44230652,55.76922989,92.78845978,0.815524757,0.459649712,1,76.44230652,54.80769348,92.78845978,0.979036629,0.491761982,1,80.28845978,60.57692337,95.67308044
Albania,ALB,-0.688587904,0.181661412,2,25.68305969,15.8469944,38.25136566,-0.631392419,0.241724938,3,24.87046623,13.4715023,47.66839218,-0.755117714,0.246736914,4,23.07692337,9.230769157,43.58974457,-0.533348322,0.217061937,5,34.69387817,17.8571434,49.48979568,-0.538209379,0.237755209,5,35.20408249,15.81632614,52.55102158,-0.415867686,0.239039287,6,42.36453247,20.19704437,56.65024567,-0.659452379,0.20038113,7,31.37254906,16.1764698,43.62745285,-0.523602188,0.186890244,9,35.60975647,22.43902397,48.29268265,-0.406624109,0.208330467,9,42.23300934,25.24271774,51.94174576,-0.356763661,0.210672766,9,44.17475891,27.18446541,55.3398056,-0.257898152,0.207134053,9,47.8468895,33.97129059,57.4162674,-0.282814354,0.208489135,9,44.49760818,31.57894707,57.4162674,-0.208234116,0.206762999,9,47.39336395,36.4928894,60.1895752,-0.267890126,0.198430911,10,45.97156525,31.7535553,58.2938385,-0.317146987,0.195930555,10,45.49763107,31.27962112,54.9763031,-0.08593484,0.215933368,9,50,36.53845978,63.94230652,0.010020781,0.216388732,9,53.36538315,41.82692337,66.34615326,0.013042147,0.205557689,8,52.88461685,40.86538315,66.34615326,0.076848939,0.208048597,8,56.73077011,42.30769348,68.2692337,0.05723986,0.210293993,8,55.76922989,40.38461685,67.78845978,-0.062213201,0.216857612,8,50.48077011,36.53845978,63.94230652,-0.135743156,0.236000627,7,48.07692337,33.65384674,62.01922989
Netherlands Antilles (former),ANT,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.202666879,0.411078751,1,85.7142868,70.44335175,93.59606171,1.027271986,0.306960046,1,82.35294342,69.11764526,89.70587921,0.769911587,0.433775842,1,76.5853653,56.09756088,88.29268646,0.742445588,0.46934703,1,77.1844635,52.91262054,90.29125977,0.76356101,0.452218175,1,76.69902802,56.31068039,88.83495331,0.761760235,0.42342633,1,74.16268158,57.4162674,88.51674652,0.748969674,0.449315786,1,75.11961365,56.45933151,88.99521637,0.741252422,0.434572607,1,73.93364716,55.92417145,87.67772675,0.747192085,0.400196075,1,73.4597168,58.76777267,88.1516571,0.752768397,0.3827084,1,73.93364716,59.71564102,88.62559509,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
United Arab Emirates,ARE,0.77663964,0.173903719,3,77.04917908,67.75955963,83.60655975,0.794107795,0.228347719,3,78.23834229,69.43005371,84.97409058,0.79149574,0.246868372,3,79.48718262,67.17948914,86.15384674,0.845478177,0.198361143,4,78.06122589,70.40816498,85.7142868,0.581133783,0.213916138,4,72.44898224,64.79592133,79.59183502,0.698981106,0.200272009,5,75.36946106,67.98029327,80.78817749,0.710510254,0.188699663,5,72.54901886,65.68627167,80.39215851,0.943854511,0.20007278,6,79.51219177,71.21951294,86.34146118,0.923828661,0.229379907,6,79.12621307,70.87378693,87.37863922,0.876649439,0.238607824,6,78.1553421,67.4757309,84.95145416,0.990984559,0.221626684,7,79.42583466,72.24880219,87.55980682,0.897770166,0.226981625,7,77.51196289,69.37799072,86.12440491,1.055163622,0.212930769,8,81.99052429,72.98577881,87.67772675,1.149475217,0.210716173,8,83.412323,73.93364716,90.0473938,1.176456332,0.207833692,8,83.412323,74.40758514,90.0473938,1.435440063,0.221737415,8,88.94230652,81.7307663,96.15384674,1.509267449,0.219985932,8,90.86538696,84.13461304,97.59615326,1.415484667,0.210612923,8,89.90384674,81.25,94.71154022,1.418191195,0.213467866,8,90.38461304,81.25,95.19230652,1.429930925,0.2133708,8,90.38461304,81.7307663,96.15384674,1.376890659,0.2199139,8,89.42308044,79.80769348,96.15384674,1.325503111,0.239316389,7,87.9807663,78.36538696,95.19230652
