,,1996,1996,1996,1996,1996,1996,1998,1998,1998,1998,1998,1998,2000,2000,2000,2000,2000,2000,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020
Country/Territory,Code,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper
Aruba,ABW,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.993854582,0.426388621,1,80.58252716,54.85437012,100,1.379846573,0.370204568,2,96.11650848,68.93203735,100,1.305752516,0.363784462,2,96.13526917,68.11594391,100,1.287162662,0.331088305,2,96.6183548,71.01449585,100,1.319140673,0.333068877,2,96.15384674,72.11538696,100,1.122499466,0.311761618,3,88.62559509,67.29857635,100,1.100847363,0.301820993,3,88.1516571,66.35070801,99.52606964,1.285737753,0.294137329,3,93.83885956,70.61611176,99.52606964,1.263881564,0.26799193,3,93.3649292,72.98577881,99.52606964,1.312226295,0.279365242,3,94.78672791,73.4597168,99.52606964,1.164567828,0.235650629,3,92.38095093,72.38095093,99.52381134,1.230921268,0.241163447,3,93.33333588,72.38095093,99.52381134,1.284199238,0.244329184,3,94.2857132,75.7142868,99.52381134,1.335037708,0.254883856,3,95.7142868,80,99.52381134,1.356553197,0.2518363,3,95.75471497,81.60377502,99.52830505,1.349796057,0.271389872,3,95.75471497,78.30188751,99.52830505,1.38405323,0.271730602,3,96.22641754,81.13207245,99.52830505
Andorra,ADO,1.170157313,0.613506794,1,89.36170197,52.12765884,100,1.183644533,0.575733066,1,90.42552948,54.78723526,100,1.167002082,0.597071171,1,86.77248383,54.4973526,100,1.282038689,0.520825028,1,92.59259033,62.43386078,100,1.464985609,0.35043788,2,98.49246216,76.8844223,100,1.40148735,0.365716189,2,98.05825043,74.27184296,100,1.384696484,0.386144698,2,99.02912903,68.44660187,100,1.348995447,0.37788415,2,98.55072784,68.11594391,100,1.340643764,0.348567873,2,98.55072784,72.46376801,100,1.337765336,0.351556391,2,98.07691956,71.63461304,100,1.296418428,0.342510402,2,94.31279755,72.03791809,100,1.278272152,0.35239929,2,93.83885956,70.1421814,100,1.302488327,0.360775292,2,95.73459625,68.72038269,99.52606964,1.290351152,0.317384899,2,94.78672791,70.1421814,99.52606964,1.28392601,0.347427368,2,93.83885956,67.77251434,99.52606964,1.286593318,0.291474074,1,96.66666412,74.2857132,99.52381134,1.39128828,0.280070931,2,97.61904907,80.47618866,99.52381134,1.413419366,0.290933132,2,97.14286041,79.04762268,99.52381134,1.421868801,0.315330505,2,97.14286041,79.52381134,100,1.417627215,0.296578556,2,97.64151001,80.6603775,99.52830505,1.602202296,0.288032144,3,98.58490753,91.03773499,100,1.618511677,0.290408969,3,99.05660248,91.03773499,100
Afghanistan,AFG,-2.414041758,0.475315154,2,2.127659559,0,6.914893627,-2.422996044,0.435323596,2,0.53191489,0,7.446808338,-2.440186501,0.455642104,2,0.529100537,0,5.82010603,-2.035389185,0.438636631,2,1.587301612,0,13.22751331,-2.197808743,0.35043788,2,2.010050297,0,6.03015089,-2.296178579,0.305102289,4,1.941747546,0.485436887,4.368932247,-2.070934296,0.304016829,4,2.427184582,0.485436887,6.310679436,-2.221301556,0.289883256,4,1.449275374,0.483091801,6.76328516,-2.41058135,0.308107227,3,1.449275374,0,4.347826004,-2.690477371,0.310743183,3,0.480769217,0,1.923076868,-2.712688923,0.293824881,4,0.473933637,0,1.895734549,-2.579151869,0.282069832,4,1.421800971,0,3.317535639,-2.502059698,0.273884326,4,1.421800971,0,2.369668245,-2.418561459,0.243881539,5,1.895734549,0,3.791469097,-2.519349098,0.245741248,6,1.421800971,0,3.317535639,-2.411068439,0.20889461,6,2.857142925,0,5.238095284,-2.571221828,0.215604156,6,0.952380955,0,2.857142925,-2.671053886,0.219707996,6,0.952380955,0,3.333333254,-2.801083803,0.228036016,6,0.476190478,0,1.428571463,-2.763864279,0.227101788,6,0.471698105,0,2.358490467,-2.655531168,0.241347983,6,0.943396211,0,3.301886797,-2.729807615,0.247809201,5,0.471698105,0,2.358490467
Angola,AGO,-2.057286263,0.373857141,4,3.723404169,0,9.042552948,-2.313072205,0.345462829,4,1.06382978,0,6.914893627,-2.035582542,0.342808962,4,1.587301612,0,8.994709015,-1.577046394,0.316106439,4,9.523809433,1.058201075,17.98941803,-1.006537795,0.292474926,5,19.59799004,9.045226097,29.14572906,-1.062797546,0.287285477,6,16.5048542,7.281553268,26.21359253,-0.887543917,0.287460506,5,21.35922241,11.1650486,33.98058319,-0.541985989,0.274180859,6,27.53623199,17.39130402,42.02898407,-0.666032195,0.26753515,5,24.1545887,14.97584534,37.19806671,-0.362911493,0.27159971,5,31.25,18.75,47.11538315,-0.347262442,0.252385199,6,32.70142365,20.85308075,47.39336395,-0.226182342,0.243547097,7,37.91469193,25.59241676,51.6587677,-0.36923781,0.244249582,7,34.59715652,20.85308075,48.81516647,-0.389322549,0.233037114,6,35.0710907,21.80094719,43.60189438,-0.391233474,0.23150824,7,35.0710907,21.32701492,45.49763107,-0.333232045,0.200113058,7,32.8571434,23.33333397,45.7142868,-0.500897765,0.210538492,6,28.09523773,19.52380943,40.47618866,-0.315898836,0.216166675,6,33.33333206,21.90476227,48.09523773,-0.380449027,0.218148753,7,30.47619057,19.52380943,45.7142868,-0.33569178,0.21937421,7,35.37735748,21.22641563,47.64151001,-0.358524978,0.218295738,7,32.07546997,20.75471687,46.22641373,-0.520678997,0.224857152,6,26.88679314,16.50943375,41.98113251
Anguilla,AIA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.788873911,0.426388621,1,74.27184296,48.54368973,98.54368591,1.193962097,0.370204568,2,90.29125977,65.04854584,100,1.107798457,0.363784462,2,89.37197876,60.86956406,100,1.086767077,0.331088305,2,89.37197876,63.28502274,100,1.116135955,0.333068877,2,89.42308044,65.38461304,100,0.870085537,0.349339068,2,78.67298889,53.08057022,98.10426331,1.373761654,0.34987396,2,95.73459625,73.4597168,100,1.550927639,0.335981905,2,99.52606964,81.99052429,100,1.476920247,0.301696002,2,99.52606964,81.99052429,100,1.533979535,0.324702829,2,99.52606964,81.99052429,100,1.164254904,0.259938985,2,91.90476227,70,99.52381134,1.249272108,0.274313003,2,94.76190186,71.90476227,99.52381134,1.315343738,0.276124716,2,95.23809814,74.2857132,99.52381134,1.389451504,0.288732857,2,96.66666412,80,99.52381134,1.287405729,0.280583203,2,94.81131744,72.64151001,99.52830505,1.355694056,0.313929111,2,96.22641754,75.47169495,99.52830505,1.540880799,0.317831784,2,98.58490753,84.43395996,100
Albania,ALB,-0.333811402,0.421902388,3,35.63829803,17.02127647,57.44680786,-0.54270643,0.381320953,3,28.72340393,13.29787254,48.40425491,-0.53797853,0.39716202,3,29.62962914,13.22751331,50.79365158,-0.294578075,0.394579351,3,34.3915329,20.1058197,58.20105743,-0.308824211,0.331168681,3,36.18090439,22.11055183,51.25628281,-0.428377599,0.316614509,4,30.09708786,18.93203926,48.54368973,-0.507140517,0.301117182,5,29.61165047,18.44660187,45.63106918,-0.508332431,0.274180859,6,29.95169067,17.87439537,42.99517059,-0.203224033,0.262605757,6,37.68115997,24.63768196,50.72463608,-0.030818928,0.26408723,6,43.26922989,29.80769157,57.69230652,-0.045248605,0.265264243,6,42.18009567,28.90995216,57.81990433,-0.191482902,0.260473907,6,38.3886261,25.59241676,52.13270187,-0.282379419,0.250866294,7,37.44075775,24.64455032,50.23696518,-0.143631592,0.221984327,8,40.28435898,29.85782051,53.55450058,0.091929786,0.228019789,8,49.28910065,36.4928894,62.55924225,0.485986233,0.196386188,8,61.42856979,52.38095093,74.2857132,0.34612906,0.202983424,8,58.09523773,45.23809433,67.14286041,0.344644666,0.20779568,8,58.09523773,47.1428566,70,0.378474772,0.215949968,8,59.52381134,46.19047546,70.95237732,0.370515645,0.215236962,8,58.49056625,47.16981125,69.3396225,0.11116863,0.233014643,7,51.88679123,36.320755,60.84905624,0.083936319,0.238271371,6,49.52830124,36.79245377,61.320755
Netherlands Antilles (former),ANT,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.686383665,0.426388621,1,70.38835144,43.68931961,97.57281494,0.822193205,0.370204568,2,72.33009338,54.36893082,99.02912903,1.107798457,0.363784462,2,89.37197876,60.86956406,100,1.086767077,0.331088305,2,89.37197876,63.28502274,100,1.116135955,0.333068877,2,89.42308044,65.38461304,100,0.870085537,0.349339068,2,78.67298889,53.08057022,98.10426331,0.959880173,0.34987396,2,81.99052429,57.81990433,99.05213165,1.20577538,0.335981905,2,91.94313049,68.2464447,99.52606964,1.078248262,0.301696002,2,87.67772675,63.98104095,99.52606964,0.676403522,0.393689394,1,67.29857635,46.91942978,94.78672791,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
United Arab Emirates,ARE,0.963122547,0.373857141,4,78.19149017,57.44680786,100,0.871171296,0.345462829,4,76.06382751,56.9148941,97.34042358,0.975109398,0.342808962,4,80.42327881,62.9629631,96.29629517,0.934847116,0.316106439,4,80.95237732,62.43386078,95.23809814,0.995016694,0.302046776,4,81.40703583,63.31658173,98.49246216,0.769014001,0.287285477,6,73.30097198,54.85437012,93.68932343,0.875832975,0.278669238,6,74.75727844,58.25242615,95.14562988,0.923538566,0.274180859,6,77.77777863,59.90338135,98.55072784,0.975382268,0.262605757,6,80.67633057,63.28502274,98.55072784,0.696904898,0.26408723,6,69.71154022,53.36538315,90.38461304,0.920840621,0.246401951,7,80.0947876,63.5071106,94.78672791,0.801757872,0.243547097,7,73.93364716,59.71564102,90.52132416,0.912175715,0.238522351,9,73.93364716,63.5071106,95.73459625,0.863251448,0.219665527,9,73.4597168,62.55924225,91.94313049,0.894792199,0.225787356,9,74.8815155,64.45497894,91.94313049,0.768908918,0.192247406,9,71.90476227,60,89.04762268,0.759545386,0.198164418,9,70.47618866,60,89.52381134,0.564748943,0.204956502,9,65.23809814,54.2857132,76.66666412,0.618641376,0.211722627,9,66.66666412,55.23809433,80.47618866,0.704976201,0.211090252,9,69.3396225,57.54716873,88.20755005,0.685608506,0.227150217,8,69.3396225,58.01886749,86.320755,0.626468301,0.232359797,7,66.03773499,55.18867874,83.01886749
