,,1996,1996,1996,1996,1996,1996,1998,1998,1998,1998,1998,1998,2000,2000,2000,2000,2000,2000,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020
Country/Territory,Code,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper
Aruba,ABW,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.771957695,0.320425034,1,73.89162445,62.56157684,86.69950867,0.86632514,0.21331057,1,75,65.19607544,83.8235321,0.856049955,0.30546087,1,75.49019623,61.27450943,91.1764679,0.877561986,0.366224527,1,77.1844635,59.70873642,91.26213837,0.894550323,0.382017583,1,78.64077759,59.70873642,92.71844482,1.291654825,0.329430282,2,86.60286713,73.68421173,99.52153015,1.347077608,0.352457583,2,87.08133698,75.5980835,100,1.322829962,0.3557823,2,87.67772675,75.82938385,99.52606964,1.408916116,0.343007177,2,90.52132416,76.7772522,100,1.429110646,0.334647059,2,90.52132416,77.25118256,100,1.250432014,0.353025466,2,88.46154022,73.07691956,97.11538696,1.371496201,0.336363614,2,90.38461304,76.44230652,99.03845978,1.347552776,0.359692156,2,88.94230652,75.4807663,98.07691956,1.194347382,0.350980103,2,84.13461304,72.59615326,94.71154022,0.856183946,0.365264326,2,77.88461304,63.46154022,90.38461304,0.857440472,0.359104156,2,75.96154022,63.46154022,90.86538696,0.923869789,0.373345315,2,77.88461304,62.98077011,92.78845978
Andorra,ADO,1.266439795,0.386360377,1,88.04347992,69.56521606,98.91304016,1.300701261,0.45139727,1,89.63730621,68.91191864,98.96372986,1.276004791,0.426612079,1,88.20513153,70.7692337,98.9743576,1.468842149,0.371455133,1,91.32653046,75.5102005,100,1.447286487,0.276046932,1,90.30612183,78.57142639,99.4897995,1.424215674,0.320425034,1,89.16255951,77.8325119,99.50739288,1.360657215,0.21331057,1,90.68627167,78.4313736,99.01960754,1.350138307,0.30546087,1,91.1764679,73.52941132,99.50980377,1.377706289,0.366224527,1,90.77669525,73.78640747,99.51456451,1.398467541,0.382017583,1,90.77669525,73.78640747,100,1.408182502,0.412933886,1,91.38755798,73.68421173,100,1.391691685,0.460483223,1,89.95215607,71.29186249,100,1.617491364,0.463799059,1,94.31279755,76.30331421,100,1.568977952,0.503709018,1,93.83885956,74.40758514,100,1.56749928,0.501051247,1,92.89099884,73.4597168,100,0.885066509,0.50749588,1,77.88461304,54.32692337,94.2307663,0.912940443,0.460461229,1,78.36538696,57.21154022,92.78845978,0.871442854,0.48629716,1,78.36538696,55.28845978,92.30769348,1.209727168,0.469023675,1,85.57691956,69.71154022,98.07691956,1.193257689,0.485444784,1,85.57691956,65.86538696,98.07691956,1.228282213,0.489111036,1,86.05769348,66.82691956,99.5192337,1.339708805,0.513251841,1,88.46154022,67.78845978,99.5192337
Afghanistan,AFG,-2.090330362,0.386360377,1,1.630434752,0,5.978260994,-2.087256432,0.45139727,1,2.590673685,0,7.772020817,-2.109626055,0.426612079,1,1.538461566,0,8.20512867,-1.804449439,0.305272579,2,3.061224461,0,7.142857075,-1.430002451,0.235703468,2,5.612245083,2.551020384,15.30612278,-1.505863309,0.224737629,4,5.418719292,1.970443368,11.82266045,-1.637369037,0.182854459,4,3.431372643,1.470588207,8.333333015,-1.667901993,0.217799217,5,2.941176414,1.960784316,8.823529243,-1.688256979,0.240883663,4,2.91262126,1.941747546,8.737864494,-1.621582627,0.210498542,5,3.398058176,2.427184582,7.766990185,-1.674311161,0.191016451,6,3.349282265,1.91387558,5.74162674,-1.532860994,0.186744288,6,5.263157845,2.392344475,8.133971214,-1.540586472,0.184458315,6,4.265402794,2.369668245,9.004739761,-1.193117857,0.183564499,8,10.90047359,4.739336491,21.80094719,-1.19313705,0.176127076,9,10.90047359,5.687203884,21.80094719,-1.118182182,0.191686392,9,11.05769253,5.288461685,24.51922989,-0.997371137,0.185220063,9,14.42307663,6.730769157,27.88461494,-1.327687621,0.196383625,9,7.211538315,3.846153736,12.98076916,-1.336691022,0.190444008,9,6.730769157,3.365384579,13.94230747,-1.133277178,0.192287564,9,10.57692337,6.25,18.75,-1.120689869,0.191534996,9,10.09615421,6.25,19.71153831,-1.378587365,0.207603157,8,8.17307663,3.846153736,11.53846169
Angola,AGO,-1.415345073,0.311746508,4,7.608695507,1.630434752,20.10869598,-1.689659476,0.26926446,6,5.699481964,1.55440414,9.844559669,-1.799330592,0.26198414,5,4.102564335,0,8.717948914,-1.463160157,0.21757862,6,6.632653236,2.551020384,12.24489784,-1.21214366,0.180799216,7,11.22449017,3.571428537,18.36734772,-1.251538634,0.178277165,8,9.852216721,4.92610836,16.25615692,-1.257796049,0.160142511,8,10.29411793,4.411764622,16.66666603,-1.132906675,0.178389251,9,13.23529434,6.862745285,21.07843208,-1.024659872,0.182039201,8,16.5048542,6.310679436,22.3300972,-1.065343976,0.177270263,8,16.01941681,6.310679436,21.35922241,-1.031473398,0.165838227,9,15.31100464,5.74162674,24.4019146,-1.035929203,0.162987471,10,16.26794243,7.177033424,23.44497681,-1.097775578,0.162187949,10,12.32227516,6.635071278,22.27488136,-0.969778121,0.183134615,9,18.48341179,9.004739761,27.48815155,-1.054224253,0.176583365,10,15.63981056,7.582938194,24.17061615,-0.988458931,0.180393279,10,16.82692337,7.692307472,27.40384674,-0.909185529,0.177090228,9,17.78846169,9.615385056,28.84615326,-1.001379728,0.181022167,9,13.46153831,7.692307472,25,-1.04222846,0.177741319,9,12.98076916,6.730769157,23.07692337,-0.877682567,0.174607188,9,16.34615326,9.615385056,29.80769157,-0.894037485,0.17296727,10,16.34615326,9.615385056,29.32692337,-0.908501685,0.193639219,9,15.86538506,9.615385056,30.28846169
Anguilla,AIA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.916903853,0.320425034,1,78.32512665,64.53202057,89.16255951,1.113491058,0.21331057,1,82.84313965,71.07843018,90.68627167,1.350138307,0.30546087,1,91.1764679,73.52941132,99.50980377,1.377706289,0.366224527,1,90.77669525,73.78640747,99.51456451,1.398467541,0.382017583,1,90.77669525,73.78640747,100,1.408182502,0.412933886,1,91.38755798,73.68421173,100,1.391691685,0.460483223,1,89.95215607,71.29186249,100,1.372052789,0.463799059,1,90.0473938,71.09004974,100,1.327829003,0.503709018,1,88.62559509,68.2464447,100,1.327262163,0.501051247,1,89.09952545,67.77251434,100,0.885066509,0.50749588,1,77.88461304,54.32692337,94.2307663,0.912940443,0.460461229,1,78.36538696,57.21154022,92.78845978,0.871442854,0.48629716,1,78.36538696,55.28845978,92.30769348,0.844159007,0.469023675,1,77.88461304,57.21154022,91.82691956,0.82344538,0.485444784,1,77.40384674,56.25,92.30769348,0.846310735,0.489111036,1,75.4807663,57.21154022,94.2307663,0.940903425,0.513251841,1,79.80769348,56.25,96.63461304
Albania,ALB,-0.474401653,0.327361286,4,30.43478203,15.76086998,57.60869598,-0.173049316,0.298182517,5,44.55958557,24.35233116,64.76683807,-0.254359484,0.277782768,6,40.5128212,22.05128288,60,-0.224693567,0.22516796,7,45.40816498,28.5714283,58.67346954,-0.447581381,0.18663542,7,38.26530457,21.4285717,50,-0.165745333,0.187862203,8,48.76847458,34.9753685,58.12807846,-0.371873468,0.164061651,9,43.62745285,25.98039246,51.96078491,-0.101760454,0.180007309,10,51.47058868,40.19607925,56.86274338,0.060612418,0.181475252,10,55.3398056,47.57281494,62.13592148,0.147539735,0.178355381,10,55.82524109,51.45631027,63.59223175,0.238284081,0.169508278,10,58.37320709,52.63158035,66.50717926,0.229477361,0.165929079,10,57.89473724,51.67464066,67.94258118,0.23293598,0.159337789,11,57.34597015,52.60663605,67.77251434,0.199168846,0.167031735,12,57.34597015,50.71089935,67.29857635,0.209718719,0.168445081,12,57.81990433,51.18483353,67.77251434,0.221990347,0.180169448,11,60.09615326,51.44230652,68.2692337,0.186667815,0.174622819,11,59.13461685,49.51922989,68.75,0.189022064,0.177975416,10,60.57692337,50.96154022,68.2692337,0.22336401,0.184246406,9,61.53845978,51.92307663,72.11538696,0.25419727,0.18433401,9,63.46154022,53.84615326,71.15384674,0.273867726,0.183443934,9,63.94230652,53.36538315,71.63461304,0.237131074,0.200558037,8,60.57692337,49.51922989,72.11538696
Netherlands Antilles (former),ANT,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.651169181,0.320425034,1,69.950737,57.63546753,83.74384308,0.86632514,0.21331057,1,75,65.19607544,83.8235321,0.856049955,0.30546087,1,75.49019623,61.27450943,91.1764679,0.877561986,0.366224527,1,77.1844635,59.70873642,91.26213837,0.894550323,0.382017583,1,78.64077759,59.70873642,92.71844482,0.905934095,0.412933886,1,77.03349304,57.89473724,94.25836945,0.893676102,0.460483223,1,77.51196289,54.54545593,94.73683929,0.881175399,0.463799059,1,77.72512054,54.9763031,94.78672791,0.845531166,0.503709018,1,76.7772522,53.08057022,95.26066589,0.846788108,0.501051247,1,76.7772522,53.55450058,94.78672791,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
United Arab Emirates,ARE,0.694305301,0.311746508,4,71.73912811,61.95652008,84.23912811,0.622475803,0.340723753,4,72.53885651,55.44041443,86.01036072,0.728593469,0.315327704,4,75.38461304,60,86.66666412,1.120548487,0.248516962,5,83.16326904,70.91836548,91.32653046,0.671616852,0.195179254,5,70.91836548,65.30612183,78.57142639,0.801586092,0.201421678,6,74.87684631,65.51724243,80.78817749,0.654178262,0.168416053,6,69.60784149,62.25490189,76.47058868,0.625478148,0.205354139,6,70.09803772,58.82352829,77.45098114,0.609857976,0.215440124,6,68.93203735,58.25242615,79.12621307,0.567346334,0.221030518,6,67.4757309,56.79611588,78.64077759,0.444513857,0.201035202,7,65.55023956,55.50239182,73.68421173,0.320224732,0.20482187,7,60.76554871,53.11004639,74.16268158,0.449240595,0.186482623,9,65.87677765,55.45023727,75.82938385,0.676251769,0.201197341,9,73.4597168,60.66350555,79.62084961,0.780733347,0.199080735,9,74.8815155,65.40284729,82.46445465,0.992053807,0.206639111,9,80.28845978,72.59615326,89.42308044,1.11105895,0.197372586,9,82.69230652,74.5192337,91.34615326,0.972595632,0.202709854,9,80.28845978,72.59615326,87.0192337,1.015220881,0.196717829,9,80.28845978,74.03845978,88.46154022,0.930290282,0.197034985,9,79.32691956,73.07691956,86.05769348,0.979413986,0.195816159,9,78.36538696,73.07691956,87.5,1.083403707,0.207592547,8,82.69230652,73.07691956,90.86538696
