,,1996,1996,1996,1996,1996,1996,1998,1998,1998,1998,1998,1998,2000,2000,2000,2000,2000,2000,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020
Country/Territory,Code,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper
Aruba,ABW,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.929806232,0.350057423,1,80.8612442,61.24401855,91.86602783,0.857202649,0.36664471,1,78.46890259,58.85167313,90.90908813,0.82051301,0.407668501,1,73.20574188,57.4162674,90.43061829,0.839393795,0.384279221,1,77.03349304,58.85167313,89.95215607,0.855813384,0.358583391,1,77.88461304,59.13461685,89.90384674,1.433195233,0.232072607,2,89.57346344,82.93838501,96.6824646,1.423002958,0.234608144,3,89.57346344,82.93838501,96.20853424,1.330772638,0.221844181,3,87.79342651,79.81221008,92.95774841,1.316148877,0.228270754,3,86.85446167,78.87323761,92.48826599,1.299672127,0.231902495,3,86.85446167,77.93427277,92.48826599,1.038238645,0.275916219,3,81.7307663,72.59615326,88.46154022,1.26090312,0.261755019,3,85.57691956,77.40384674,91.34615326,1.261824965,0.248163193,3,87.0192337,78.36538696,91.82691956,1.335013628,0.224331155,3,87.0192337,80.28845978,93.2692337,1.297676563,0.209676251,3,87.0192337,78.84615326,91.34615326,1.263350248,0.211060509,3,86.53845978,78.84615326,91.82691956,1.306116104,0.192612022,3,87.5,81.25,91.82691956
Andorra,ADO,1.158362508,0.388865143,2,86.43215942,63.31658173,96.98492432,1.213209271,0.365498781,2,85,70,97,1.312131286,0.312100261,2,86.63366699,74.2574234,95.54455566,1.252000809,0.358357012,2,86.13861084,69.80197906,96.03960419,1.08720696,0.338615388,2,84.15841675,66.33663177,93.06930542,1.210473299,0.331487536,2,87.08133698,70.33493042,94.73683929,0.976217151,0.346114874,2,81.8181839,61.7224884,91.38755798,0.865921497,0.361812413,2,75.5980835,59.80861282,89.95215607,1.182821274,0.355742365,2,87.08133698,67.94258118,94.73683929,1.196157694,0.33344084,2,86.53845978,70.19230652,93.75,1.224501491,0.364527613,2,87.20378876,66.824646,97.15639496,1.204572201,0.377176106,2,86.7298584,66.35070801,97.15639496,1.407783747,0.370324343,2,89.20188141,74.17840576,100,1.407693982,0.361046493,2,89.20188141,73.70892334,100,1.40894711,0.352640182,2,88.73239136,73.70892334,100,1.641889811,0.518469512,1,90.38461304,76.92308044,100,1.575856209,0.500586331,1,89.90384674,75.4807663,100,1.578046918,0.51399833,1,90.86538696,75.4807663,100,1.605817676,0.484772712,1,90.38461304,77.88461304,100,1.607840896,0.484161466,1,90.86538696,77.88461304,100,1.580232263,0.49512282,1,90.86538696,76.92308044,100,1.698637605,0.528506517,1,93.2692337,76.44230652,100
Afghanistan,AFG,-1.788075447,0.350509405,3,1.507537723,0,12.56281376,-1.737139821,0.331570655,3,2,0,11,-1.778437495,0.294016927,3,1.485148549,0,8.910891533,-1.670823216,0.299406469,4,1.980198026,0,10.89108944,-1.553828716,0.303959817,4,3.960396051,0,15.34653473,-1.69714272,0.215979233,6,2.87081337,0,7.655502319,-1.658668041,0.206079766,7,1.91387558,0,8.612440109,-1.863188624,0.201311558,9,0.478468895,0,3.82775116,-1.829666138,0.253809035,8,0.95693779,0,5.263157845,-1.864379525,0.222265512,9,0.480769217,0,3.846153736,-1.847092271,0.181450561,10,0.947867274,0,2.369668245,-1.845426559,0.181408241,10,0.473933637,0,2.369668245,-1.896546125,0.174510285,10,0.469483554,0,1.877934217,-1.64308095,0.166224256,11,1.408450723,0,5.633802891,-1.597347856,0.159113482,12,1.408450723,0,7.51173687,-1.445760965,0.174595058,11,4.326922894,0.961538434,9.134614944,-1.504086018,0.172927365,11,3.365384579,0.961538434,7.692307472,-1.498478293,0.174889773,11,5.769230843,2.403846264,9.134614944,-1.562422872,0.163484931,11,4.807692528,1.442307711,8.17307663,-1.664038062,0.158110499,11,4.326922894,1.442307711,6.730769157,-1.713713884,0.157949567,11,4.326922894,0.961538434,5.288461685,-1.807696819,0.159023643,10,2.403846264,0.961538434,4.807692528
Angola,AGO,-1.630469322,0.212429106,6,3.5175879,0,10.05025101,-1.700753331,0.209898442,8,2.5,0.5,6.5,-1.66330719,0.182779521,8,1.980198026,0.495049506,6.93069315,-1.617329359,0.194939524,9,2.970297098,0,7.920792103,-1.521410227,0.190418735,10,4.455445766,0,10.89108944,-1.496278524,0.170248777,12,5.74162674,0.95693779,11.00478458,-1.427660942,0.164329514,12,7.177033424,1.435406685,11.96172237,-1.300314307,0.155077472,14,9.090909004,2.392344475,13.87559795,-1.365903616,0.16425623,13,6.220095634,1.435406685,12.91866016,-1.366982222,0.155147016,14,7.211538315,1.923076868,12.01923084,-1.230835199,0.142662361,15,10.42654037,4.265402794,17.06161118,-1.26527524,0.135978445,16,9.004739761,3.317535639,14.69194317,-1.265321732,0.131059378,16,9.859154701,1.877934217,14.55399036,-1.269483685,0.138890192,15,8.450704575,2.347417831,15.02347374,-1.267944336,0.133570954,16,8.92018795,3.286385059,14.55399036,-1.118244529,0.143944561,14,11.05769253,6.25,18.75,-1.081989288,0.149845347,13,12.5,5.769230843,20.67307663,-1.087554097,0.166856915,12,12.5,8.17307663,19.23077011,-1.101168156,0.157157689,11,12.01923084,7.692307472,19.71153831,-1.048342824,0.152768493,11,14.42307663,7.211538315,20.67307663,-1.054597378,0.150121152,12,13.46153831,6.730769157,20.67307663,-0.963171542,0.147593081,11,16.82692337,9.615385056,24.51922989
Anguilla,AIA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.159124851,0.350057423,1,86.12440491,67.46411133,94.73683929,1.64484477,0.36664471,1,93.30143738,83.25358582,100,1.599525094,0.407668501,1,92.34449768,78.46890259,100,1.636582851,0.384279221,1,92.82296753,82.29665375,100,1.670905709,0.358583391,1,92.78845978,83.65384674,100,1.400128007,0.398874521,1,89.09952545,71.09004974,100,1.382148266,0.41196236,1,88.62559509,69.66824341,100,1.3605479,0.413139403,1,88.26290894,69.01408386,100,1.364377618,0.398927063,1,88.26290894,71.3615036,100,1.367800593,0.387718409,1,88.26290894,72.76995087,100,0.01877306,0.518469512,1,59.13461685,20.67307663,77.88461304,-0.03934006,0.500586331,1,56.73077011,19.23077011,75.96154022,-0.084684826,0.51399833,1,52.40384674,17.30769157,75.96154022,-0.102597259,0.484772712,1,50.96154022,17.30769157,75.4807663,-0.098588631,0.484161466,1,51.44230652,17.78846169,75,0.35575518,0.49512282,1,63.46154022,35.09615326,85.57691956,0.436114639,0.528506517,1,64.90384674,35.57692337,87.0192337
Albania,ALB,-0.6844818,0.246615291,6,28.64321518,16.58291435,42.21105576,-0.924325168,0.236578405,7,19.5,8,32.5,-1.008779526,0.209774524,9,18.81188202,7.425742626,29.7029705,-0.762146771,0.201423556,10,27.22772217,14.85148525,38.61386108,-0.723140359,0.201668844,10,28.21782112,15.34653473,41.08910751,-0.68777281,0.183751285,11,28.7081337,17.22488022,39.71291733,-0.736335754,0.181311131,12,28.7081337,16.26794243,38.75598145,-0.684768975,0.153700158,14,28.7081337,20.09569359,41.14832687,-0.646295726,0.152121678,14,30.62200928,20.09569359,42.10526276,-0.588694632,0.146188274,14,34.61538315,21.63461494,42.30769348,-0.500429869,0.140529692,14,38.3886261,27.96208572,45.97156525,-0.407361805,0.134939611,15,41.23222733,31.27962112,49.28910065,-0.455345362,0.128791302,16,41.31455231,30.04694748,47.88732529,-0.5202896,0.123419918,17,39.4366188,28.63849831,46.00938797,-0.518073857,0.126393571,16,39.4366188,27.69952965,45.53990555,-0.337957352,0.133512437,14,43.26922989,32.69230652,52.40384674,-0.328307897,0.135569096,14,44.23077011,32.69230652,54.32692337,-0.328999609,0.154746071,12,41.82692337,31.25,52.40384674,-0.404323071,0.144364566,12,38.94230652,29.32692337,48.07692337,-0.403385103,0.137496009,12,38.94230652,28.84615326,48.55769348,-0.411093265,0.139654085,12,38.94230652,27.40384674,47.11538315,-0.358294338,0.140293628,11,40.86538315,29.80769157,48.55769348
Netherlands Antilles (former),ANT,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.929806232,0.350057423,1,80.8612442,61.24401855,91.86602783,0.857202649,0.36664471,1,78.46890259,58.85167313,90.90908813,0.82051301,0.407668501,1,73.20574188,57.4162674,90.43061829,0.839393795,0.384279221,1,77.03349304,58.85167313,89.95215607,0.728283584,0.348326027,2,72.11538696,58.17307663,87.5,0.847266793,0.385251999,2,74.8815155,61.13743973,90.0473938,0.853370726,0.41196236,1,76.7772522,60.66350555,90.52132416,0.836805522,0.413139403,1,76.05633545,60.09389496,90.14084625,0.840397358,0.398927063,1,75.58685303,59.62441254,90.14084625,0.848184288,0.387718409,1,76.52581787,59.62441254,90.14084625,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
United Arab Emirates,ARE,0.688413978,0.22014682,5,68.84422302,62.31155777,82.4120636,0.745997608,0.23398757,5,73.5,64.5,84,0.676838219,0.188165173,6,72.77227783,63.36633682,81.18811798,0.726275027,0.199935898,7,73.26732635,63.86138535,82.17821503,0.570797801,0.20654276,7,67.82178497,60.89109039,78.71286774,0.444308072,0.184205607,8,64.11483002,58.37320709,72.24880219,0.398342997,0.181227058,8,61.24401855,55.98086166,70.33493042,0.319920212,0.181852192,9,60.76554871,54.54545593,66.98564911,0.285038143,0.184211716,9,59.33014297,53.11004639,67.46411133,0.424307644,0.180173218,9,62.98077011,58.17307663,71.15384674,0.404846251,0.160568848,11,63.03317642,59.71564102,68.72038269,0.323035866,0.160844892,11,62.55924225,56.39810562,66.35070801,0.504761636,0.142288774,13,65.25821686,61.50234604,71.3615036,0.539483607,0.151514769,12,67.13614655,61.97183228,72.76995087,0.618943691,0.151470676,12,69.01408386,62.4413147,76.52581787,0.652148008,0.162820503,11,75,67.30769348,78.84615326,0.64076221,0.158454821,11,73.07691956,65.86538696,78.84615326,0.849065959,0.172672153,10,78.36538696,71.63461304,85.09615326,0.800795496,0.162669718,10,77.40384674,70.19230652,82.21154022,0.806546748,0.155961186,10,77.40384674,71.15384674,82.69230652,0.840346038,0.15986146,10,77.88461304,71.63461304,83.65384674,0.916941881,0.157319248,9,79.32691956,73.07691956,84.13461304
